Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000784 0.000714 0.000320 0.000000 0.000000
0.000000 -0.000214 0.000784 0.000320 370.000000 1.700000
1.000000 0.000774 0.000574 0.000320 0.000000 0.000000
0.000000 -0.000224 0.000644 0.000320 370.000000 1.700000
1.000000 0.000764 0.000435 0.000320 0.000000 0.000000
0.000000 -0.000233 0.000504 0.000320 370.000000 1.700000
1.000000 0.000754 0.000295 0.000320 0.000000 0.000000
0.000000 -0.000243 0.000365 0.000320 370.000000 1.700000
1.000000 0.000745 0.000155 0.000320 0.000000 0.000000
0.000000 -0.000253 0.000225 0.000320 370.000000 1.700000
1.000000 0.000735 0.000016 0.000320 0.000000 0.000000
0.000000 -0.000263 0.000085 0.000320 370.000000 1.700000
1.000000 0.000725 -0.000124 0.000320 0.000000 0.000000
0.000000 -0.000272 -0.000054 0.000320 370.000000 1.700000
1.000000 0.000715 -0.000264 0.000320 0.000000 0.000000
0.000000 -0.000282 -0.000194 0.000320 370.000000 1.700000
