Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 -0.000315 -0.000176 0.000480 0.000000 0.000000
0.000000 0.000676 -0.000315 0.000480 370.000000 1.700000
1.000000 -0.000295 -0.000037 0.000480 0.000000 0.000000
0.000000 0.000695 -0.000176 0.000480 370.000000 1.700000
1.000000 -0.000276 0.000102 0.000480 0.000000 0.000000
0.000000 0.000715 -0.000037 0.000480 370.000000 1.700000
1.000000 -0.000256 0.000240 0.000480 0.000000 0.000000
0.000000 0.000734 0.000101 0.000480 370.000000 1.700000
1.000000 -0.000237 0.000379 0.000480 0.000000 0.000000
0.000000 0.000753 0.000240 0.000480 370.000000 1.700000
1.000000 -0.000217 0.000518 0.000480 0.000000 0.000000
0.000000 0.000773 0.000378 0.000480 370.000000 1.700000
1.000000 -0.000198 0.000656 0.000480 0.000000 0.000000
0.000000 0.000792 0.000517 0.000480 370.000000 1.700000
1.000000 -0.000178 0.000795 0.000480 0.000000 0.000000
0.000000 0.000812 0.000656 0.000480 370.000000 1.700000
