Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000930 0.000445 0.000520 0.000000 0.000000
0.000000 0.000055 0.000930 0.000520 370.000000 1.700000
1.000000 0.000862 0.000322 0.000520 0.000000 0.000000
0.000000 -0.000013 0.000807 0.000520 370.000000 1.700000
1.000000 0.000794 0.000200 0.000520 0.000000 0.000000
0.000000 -0.000081 0.000685 0.000520 370.000000 1.700000
1.000000 0.000726 0.000078 0.000520 0.000000 0.000000
0.000000 -0.000149 0.000562 0.000520 370.000000 1.700000
1.000000 0.000658 -0.000045 0.000520 0.000000 0.000000
0.000000 -0.000216 0.000440 0.000520 370.000000 1.700000
1.000000 0.000590 -0.000167 0.000520 0.000000 0.000000
0.000000 -0.000284 0.000317 0.000520 370.000000 1.700000
1.000000 0.000522 -0.000290 0.000520 0.000000 0.000000
0.000000 -0.000352 0.000195 0.000520 370.000000 1.700000
1.000000 0.000455 -0.000412 0.000520 0.000000 0.000000
0.000000 -0.000420 0.000073 0.000520 370.000000 1.700000
