Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000695 -0.000300 0.000480 0.000000 0.000000
0.000000 0.000800 0.000695 0.000480 370.000000 1.700000
1.000000 0.000556 -0.000285 0.000480 0.000000 0.000000
0.000000 0.000660 0.000710 0.000480 370.000000 1.700000
1.000000 0.000417 -0.000270 0.000480 0.000000 0.000000
0.000000 0.000521 0.000724 0.000480 370.000000 1.700000
1.000000 0.000277 -0.000256 0.000480 0.000000 0.000000
0.000000 0.000382 0.000739 0.000480 370.000000 1.700000
1.000000 0.000138 -0.000241 0.000480 0.000000 0.000000
0.000000 0.000243 0.000754 0.000480 370.000000 1.700000
1.000000 -0.000001 -0.000226 0.000480 0.000000 0.000000
0.000000 0.000103 0.000768 0.000480 370.000000 1.700000
1.000000 -0.000140 -0.000212 0.000480 0.000000 0.000000
0.000000 -0.000036 0.000783 0.000480 370.000000 1.700000
1.000000 -0.000280 -0.000197 0.000480 0.000000 0.000000
0.000000 -0.000175 0.000797 0.000480 370.000000 1.700000
