Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000031 0.000922 0.000360 0.000000 0.000000
0.000000 -0.000422 0.000031 0.000360 370.000000 1.700000
1.000000 0.000156 0.000859 0.000360 0.000000 0.000000
0.000000 -0.000298 -0.000032 0.000360 370.000000 1.700000
1.000000 0.000281 0.000795 0.000360 0.000000 0.000000
0.000000 -0.000173 -0.000096 0.000360 370.000000 1.700000
1.000000 0.000406 0.000732 0.000360 0.000000 0.000000
0.000000 -0.000048 -0.000159 0.000360 370.000000 1.700000
1.000000 0.000530 0.000668 0.000360 0.000000 0.000000
0.000000 0.000076 -0.000223 0.000360 370.000000 1.700000
1.000000 0.000655 0.000605 0.000360 0.000000 0.000000
0.000000 0.000201 -0.000286 0.000360 370.000000 1.700000
1.000000 0.000780 0.000541 0.000360 0.000000 0.000000
0.000000 0.000326 -0.000350 0.000360 370.000000 1.700000
1.000000 0.000905 0.000478 0.000360 0.000000 0.000000
0.000000 0.000451 -0.000413 0.000360 370.000000 1.700000
