Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000957 0.000238 0.000080 0.000000 0.000000
0.000000 0.000262 0.000957 0.000080 370.000000 1.700000
1.000000 0.000856 0.000140 0.000080 0.000000 0.000000
0.000000 0.000162 0.000860 0.000080 370.000000 1.700000
1.000000 0.000756 0.000043 0.000080 0.000000 0.000000
0.000000 0.000061 0.000762 0.000080 370.000000 1.700000
1.000000 0.000655 -0.000054 0.000080 0.000000 0.000000
0.000000 -0.000040 0.000665 0.000080 370.000000 1.700000
1.000000 0.000554 -0.000151 0.000080 0.000000 0.000000
0.000000 -0.000140 0.000568 0.000080 370.000000 1.700000
1.000000 0.000453 -0.000249 0.000080 0.000000 0.000000
0.000000 -0.000241 0.000471 0.000080 370.000000 1.700000
1.000000 0.000353 -0.000346 0.000080 0.000000 0.000000
0.000000 -0.000342 0.000373 0.000080 370.000000 1.700000
1.000000 0.000252 -0.000443 0.000080 0.000000 0.000000
0.000000 -0.000443 0.000276 0.000080 370.000000 1.700000
