Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000538 0.000896 0.000120 0.000000 0.000000
0.000000 -0.000396 0.000538 0.000120 370.000000 1.700000
1.000000 0.000588 0.000765 0.000120 0.000000 0.000000
0.000000 -0.000346 0.000407 0.000120 370.000000 1.700000
1.000000 0.000638 0.000635 0.000120 0.000000 0.000000
0.000000 -0.000296 0.000276 0.000120 370.000000 1.700000
1.000000 0.000688 0.000504 0.000120 0.000000 0.000000
0.000000 -0.000245 0.000146 0.000120 370.000000 1.700000
1.000000 0.000738 0.000373 0.000120 0.000000 0.000000
0.000000 -0.000195 0.000015 0.000120 370.000000 1.700000
1.000000 0.000788 0.000242 0.000120 0.000000 0.000000
0.000000 -0.000145 -0.000116 0.000120 370.000000 1.700000
1.000000 0.000839 0.000112 0.000120 0.000000 0.000000
0.000000 -0.000095 -0.000247 0.000120 370.000000 1.700000
1.000000 0.000889 -0.000019 0.000120 0.000000 0.000000
0.000000 -0.000045 -0.000377 0.000120 370.000000 1.700000
