Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000213 -0.000456 0.000240 0.000000 0.000000
0.000000 0.000956 0.000213 0.000240 370.000000 1.700000
1.000000 0.000119 -0.000352 0.000240 0.000000 0.000000
0.000000 0.000862 0.000317 0.000240 370.000000 1.700000
1.000000 0.000026 -0.000248 0.000240 0.000000 0.000000
0.000000 0.000769 0.000421 0.000240 370.000000 1.700000
1.000000 -0.000068 -0.000144 0.000240 0.000000 0.000000
0.000000 0.000675 0.000525 0.000240 370.000000 1.700000
1.000000 -0.000162 -0.000040 0.000240 0.000000 0.000000
0.000000 0.000581 0.000629 0.000240 370.000000 1.700000
1.000000 -0.000255 0.000064 0.000240 0.000000 0.000000
0.000000 0.000488 0.000733 0.000240 370.000000 1.700000
1.000000 -0.000349 0.000168 0.000240 0.000000 0.000000
0.000000 0.000394 0.000837 0.000240 370.000000 1.700000
1.000000 -0.000443 0.000272 0.000240 0.000000 0.000000
0.000000 0.000300 0.000941 0.000240 370.000000 1.700000
