Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 -0.000454 0.000312 0.000400 0.000000 0.000000
0.000000 0.000188 -0.000454 0.000400 370.000000 1.700000
1.000000 -0.000347 0.000402 0.000400 0.000000 0.000000
0.000000 0.000296 -0.000364 0.000400 370.000000 1.700000
1.000000 -0.000240 0.000492 0.000400 0.000000 0.000000
0.000000 0.000403 -0.000274 0.000400 370.000000 1.700000
1.000000 -0.000133 0.000582 0.000400 0.000000 0.000000
0.000000 0.000510 -0.000184 0.000400 370.000000 1.700000
1.000000 -0.000025 0.000672 0.000400 0.000000 0.000000
0.000000 0.000617 -0.000094 0.000400 370.000000 1.700000
1.000000 0.000082 0.000762 0.000400 0.000000 0.000000
0.000000 0.000725 -0.000004 0.000400 370.000000 1.700000
1.000000 0.000189 0.000852 0.000400 0.000000 0.000000
0.000000 0.000832 0.000086 0.000400 370.000000 1.700000
1.000000 0.000296 0.000942 0.000400 0.000000 0.000000
0.000000 0.000939 0.000176 0.000400 370.000000 1.700000
