Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 0.000886 -0.000060 0.000280 0.000000 0.000000
0.000000 0.000560 0.000886 0.000280 370.000000 1.700000
1.000000 0.000753 -0.000106 0.000280 0.000000 0.000000
0.000000 0.000428 0.000840 0.000280 370.000000 1.700000
1.000000 0.000621 -0.000151 0.000280 0.000000 0.000000
0.000000 0.000295 0.000794 0.000280 370.000000 1.700000
1.000000 0.000488 -0.000197 0.000280 0.000000 0.000000
0.000000 0.000163 0.000749 0.000280 370.000000 1.700000
1.000000 0.000356 -0.000242 0.000280 0.000000 0.000000
0.000000 0.000030 0.000703 0.000280 370.000000 1.700000
1.000000 0.000224 -0.000288 0.000280 0.000000 0.000000
0.000000 -0.000102 0.000658 0.000280 370.000000 1.700000
1.000000 0.000091 -0.000333 0.000280 0.000000 0.000000
0.000000 -0.000234 0.000612 0.000280 370.000000 1.700000
1.000000 -0.000041 -0.000379 0.000280 0.000000 0.000000
0.000000 -0.000367 0.000566 0.000280 370.000000 1.700000
