Mode X(m) Y(m) Z(m) Power(W) tParam
1.000000 -0.000082 -0.000374 0.000440 0.000000 0.000000
0.000000 0.000874 -0.000082 0.000440 370.000000 1.700000
1.000000 -0.000123 -0.000240 0.000440 0.000000 0.000000
0.000000 0.000833 0.000052 0.000440 370.000000 1.700000
1.000000 -0.000164 -0.000107 0.000440 0.000000 0.000000
0.000000 0.000792 0.000186 0.000440 370.000000 1.700000
1.000000 -0.000205 0.000027 0.000440 0.000000 0.000000
0.000000 0.000752 0.000320 0.000440 370.000000 1.700000
1.000000 -0.000246 0.000161 0.000440 0.000000 0.000000
0.000000 0.000711 0.000454 0.000440 370.000000 1.700000
1.000000 -0.000287 0.000295 0.000440 0.000000 0.000000
0.000000 0.000670 0.000587 0.000440 370.000000 1.700000
1.000000 -0.000328 0.000429 0.000440 0.000000 0.000000
0.000000 0.000629 0.000721 0.000440 370.000000 1.700000
1.000000 -0.000368 0.000563 0.000440 0.000000 0.000000
0.000000 0.000588 0.000855 0.000440 370.000000 1.700000
