# Time (s),Width (um),Depth (um),Cap (um)
2.818882352941176676e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
2.835176470588236051e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
2.851470588235294410e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.867764705882353107e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.884058823529411805e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.900352941176470502e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.916647058823529877e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.932941176470588575e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.949235294117647611e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.965529411764705970e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.981823529411765006e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
2.998117647058824042e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
3.014411764705882739e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
3.030705882352941437e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
3.047000000000000134e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
3.063294117647059509e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
3.079588235294117868e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.095882352941176904e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.112176470588235263e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.128470588235294977e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.144764705882353335e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.161058823529412371e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.177352941176470730e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.193647058823529089e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.209941176470588802e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.226235294117647161e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.242529411764706197e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.258823529411765234e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
